n,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
1020928,142,123,2633,2633,126,112,127,200,134
1021952,143,123,2635,2635,127,112,127,200,134
1022976,143,123,2638,2638,127,112,128,200,134
1024000,143,123,2645,2645,128,112,128,200,134
1025024,143,123,2653,2653,128,112,128,200,135
1026048,143,124,2658,2658,128,112,128,200,135
1027072,144,124,2662,2662,128,112,130,201,135
1028096,144,124,2664,2664,128,112,130,201,135
1029120,145,125,2670,2670,129,112,131,201,135
1030144,146,126,2677,2677,129,112,131,202,135
1031168,146,126,2679,2679,129,112,131,203,135
1032192,146,126,2684,2684,129,112,131,204,136
1033216,147,126,2691,2691,129,112,131,205,136
1034240,148,127,2693,2693,129,115,132,206,136
1035264,148,127,2696,2696,129,116,133,206,136
1036288,148,127,2703,2703,129,116,134,206,136
1037312,148,127,2708,2708,130,116,134,206,136
1038336,148,127,2714,2714,131,116,134,206,136
1039360,148,127,2715,2715,132,116,134,206,136
1040384,149,127,2720,2720,132,116,134,207,136
1041408,149,129,2725,2725,132,116,134,208,136
1042432,149,130,2728,2728,132,116,134,208,136
1043456,149,130,2730,2730,134,116,135,208,136
1044480,149,130,2737,2737,134,117,135,208,137
1045504,149,130,2740,2740,134,117,135,208,137
1046528,150,130,2743,2743,134,118,137,208,138
1047552,150,130,2746,2746,134,118,137,208,138
1048576,150,130,2750,2750,135,120,138,208,138
